scenario,encrypt_mean,encrypt_var,eval_mean,eval_var,setup_mean,setup_var
10,0.000000,0.000000,0.816331,0.000000,0.000099,0.000000
20,0.000000,0.000000,3.492765,0.000000,0.000098,0.000000
30,0.000000,0.000000,8.566047,0.000001,0.000099,0.000000
40,0.000000,0.000000,13.613159,0.000017,0.000099,0.000000
50,0.000000,0.000000,21.981328,0.000002,0.000099,0.000000
60,0.000000,0.000000,29.344542,0.000038,0.000098,0.000000
70,0.000000,0.000000,41.168626,0.000087,0.000099,0.000000
80,0.000000,0.000000,49.562438,0.000010,0.000101,0.000000
90,0.000000,0.000000,69.847525,0.002459,0.000098,0.000000
100,0.000000,0.000000,88.438776,0.000203,0.000099,0.000000
110,0.000000,0.000000,97.648781,0.000114,0.000098,0.000000
120,0.000000,0.000000,119.302298,0.000083,0.000100,0.000000
130,0.000000,0.000000,141.162909,0.001763,0.000099,0.000000
140,0.000000,0.000000,158.108330,0.000160,0.000101,0.000000
150,0.000000,0.000000,180.752532,0.002904,0.000100,0.000000
160,0.000000,0.000000,205.703640,0.000384,0.000099,0.000000
170,0.000000,0.000000,254.077468,0.002180,0.000100,0.000000
180,0.000000,0.000000,253.070365,0.007150,0.000099,0.000000
190,0.000000,0.000000,305.660294,0.003404,0.000100,0.000000
200,0.000000,0.000000,325.136798,0.069383,0.000100,0.000000
250,0.000000,0.000000,494.160928,0.006266,0.000100,0.000000
